rank,drug_a,drug_b,priority_score,p_empirical,q_value,permutation_z,signed_reversal,reversal_efficiency,reversal_gain_over_best_single,counter_therapeutic,gene_coverage,pathway_coverage,axis_coverage,target_complementarity,compartment_complementarity,cns_reach,regimen_compatibility,network_separation,proximity_z_a,proximity_z_b,complementary_exposure,evidence_score,uncertainty,safety_union,safety_overlap,worst_risk_domain,same_mechanism,shared_safety_class,redundant_targets,excluded_from_primary_ranking,pareto_optimal
417,Idebenone,Masitinib,1.1972,0.00249,0.00837,3.0163,0.0477,0.364,0.0172,0.0,0.131,0.5,0.8,1.0,0.75,0.55,0.8667,0.369,-0.7029,-3.6789,True,0.3333,0.55,0.1692,0.0093,hepatic,False,False,False,False,False
418,Nicotinamide riboside,Siponimod,1.1969,0.00249,0.00837,3.1868,0.053,0.3513,0.0146,0.0,0.151,0.6,0.8,0.9286,0.5,0.65,0.8667,0.4,-0.7234,-2.5366,True,0.3333,0.45,0.2373,0.0,infection,False,False,False,False,False
419,Cladribine,High-dose biotin,1.1967,0.00249,0.00837,3.8879,0.0468,0.3225,0.02,0.0,0.1452,0.4,0.6,1.0,0.75,0.6,0.6,0.8452,-2.961,-0.7599,True,0.6667,0.475,0.2765,0.0,infection,False,False,False,False,False
420,Elezanumab,Masitinib,1.1966,0.00249,0.00837,3.0328,0.059,0.3461,0.0285,0.0,0.1705,0.4,0.8,1.0,0.75,0.5,0.82,0.0714,-2.7183,-3.6789,True,0.3333,0.55,0.1642,0.0034,infection,False,False,False,False,False
421,Elezanumab,Sirolimus,1.196,0.00249,0.00837,3.1373,0.0526,0.3404,0.0241,0.0,0.1545,0.4,0.8,1.0,1.0,0.35,0.6867,0.3095,-2.7183,-2.0409,True,0.3333,0.575,0.198,0.0059,infection,False,False,False,False,False
422,Firategrast,Idebenone,1.1954,0.00249,0.00837,3.1353,0.0364,0.3731,0.0172,0.0,0.0975,0.5,0.6,1.0,1.0,0.55,1.0,0.7083,-3.2771,-0.7029,True,0.3333,0.575,0.1186,0.0,infection,False,False,False,False,False
423,Inebilizumab,Oxcarbazepine,1.195,0.00998,0.02038,1.7829,0.0448,0.4541,0.0099,0.0,0.0987,0.2,0.4,1.0,1.0,0.7,0.5533,1.0,-2.8083,-0.3516,True,0.3333,0.475,0.248,0.0,infection,False,False,False,False,False
424,Alpha-lipoic acid,Fenebrutinib,1.1944,0.00748,0.01683,2.8081,0.0471,0.3554,0.0173,0.0,0.1325,0.6,0.8,1.0,0.5,0.6,1.0,0.2857,-1.7729,-2.6962,True,0.3333,0.45,0.1373,0.0,infection,False,False,False,False,False
425,Oxcarbazepine,Ustekinumab,1.1943,0.00748,0.01683,2.1231,0.0492,0.4319,0.0099,0.0,0.1139,0.2,0.4,1.0,1.0,0.7,0.5533,0.75,-0.3516,-1.9172,True,0.3333,0.525,0.1647,0.0,infection,False,False,False,False,False
426,Dimethyl fumarate,Interferon beta-1a,1.1941,0.00998,0.02038,2.4343,0.0667,0.3926,0.0304,0.0031,0.1699,0.4,0.4,0.8125,0.5,0.55,0.82,-0.3333,-2.3075,-3.5867,False,1.0,0.275,0.1853,0.0324,infection,False,False,False,False,True
427,Ponesimod,Tolebrutinib,1.1941,0.01247,0.02374,1.8012,0.0628,0.4013,0.0201,0.0,0.1565,0.5,0.4,1.0,0.5,0.8,1.0,0.1,-1.5016,-3.3227,True,0.6667,0.3,0.2672,0.0515,infection,False,False,False,False,False
428,Epigallocatechin gallate,Opicinumab,1.1939,0.00249,0.00837,4.0549,0.0617,0.4184,0.012,0.0,0.1475,0.4,0.6,0.9286,0.75,0.45,0.6867,0.3333,-1.555,-0.7473,True,0.3333,0.675,0.0716,0.0,hepatic,False,False,False,False,False
429,Diroximel fumarate,Glatiramer acetate,1.1938,0.00249,0.00837,3.0706,0.0571,0.4171,0.0265,0.0,0.137,0.4,0.4,0.8571,0.5,0.55,0.82,-0.2679,-1.9273,-3.0334,False,1.0,0.325,0.1245,0.0078,infection,False,False,False,False,True
430,Elezanumab,Peginterferon beta-1a,1.193,0.00249,0.00837,4.0655,0.0565,0.3088,0.028,0.003,0.1828,0.4,0.6,1.0,1.0,0.2,0.82,0.2857,-2.7183,-2.577,True,0.3333,0.45,0.0995,0.0015,hepatic,False,False,False,False,True
431,Fenebrutinib,Simvastatin,1.1926,0.04988,0.06409,1.5451,0.0482,0.4056,0.0185,0.0,0.1189,0.6,0.8,0.8333,0.5,0.6,1.0,-0.2143,-2.6962,-1.7856,False,0.6667,0.4,0.2167,0.0206,hepatic,False,False,False,False,True
432,Methylprednisolone,Ponesimod,1.1925,0.00748,0.01683,2.2734,0.0722,0.4737,0.0164,0.0,0.1523,0.4,0.2,0.8333,0.5,0.6,0.82,-0.35,-3.1022,-1.5016,False,1.0,0.275,0.232,0.0475,infection,False,False,False,False,False
433,Inebilizumab,Lamotrigine,1.1921,0.05985,0.07304,1.5118,0.0482,0.4367,0.0133,0.0,0.1104,0.2,0.4,1.0,1.0,0.7,0.5533,0.6786,-2.8083,-3.0679,True,0.3333,0.45,0.1892,0.0,infection,False,False,False,False,False
434,Ibudilast,Nicotinamide riboside,1.1919,0.00748,0.01683,2.6006,0.0547,0.3963,0.0145,0.0,0.1381,0.4,0.6,0.9231,0.75,0.7,1.0,-0.1444,-4.4103,-0.7234,False,0.3333,0.55,0.0471,0.0,hepatic,False,False,False,False,False
435,Lamotrigine,Opicinumab,1.1916,0.00499,0.01301,2.9705,0.0619,0.4247,0.0122,0.0,0.1458,0.2,0.4,0.9167,1.0,0.7,0.6867,-0.1389,-3.0679,-0.7473,False,0.3333,0.575,0.0373,0.0,hepatic,False,False,False,False,False
